City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
210,whitehorse,60.7161,-135.0538,3.43,89,100,7.15,CA,1696551260
211,northam,51.0333,-4.2167,14.66,92,100,6.06,GB,1696550799
212,ust-nera,64.5667,143.2,-1.55,73,98,1.34,RU,1696551261
213,kidal,18.4411,1.4078,32.56,21,34,7.39,ML,1696551261
214,areia branca,-4.9561,-37.1369,25.98,75,36,9.36,BR,1696551150
215,kourou,5.1552,-52.6478,27.03,84,98,4.96,GF,1696551187
216,nchelenge,-9.3451,28.734,25.96,45,91,1.48,ZM,1696551263
217,afaahiti,-17.75,-149.2833,27.93,81,31,10.46,PF,1696551263
218,labytnangi,66.6572,66.4183,5.59,72,97,10.54,RU,1696551203
219,udachny,66.4167,112.4,-5.86,79,66,2.06,RU,1696551024
220,puerto gaitan,4.3133,-72.0816,29.5,65,66,2.31,CO,1696551264
221,dudinka,69.4058,86.1778,1.46,92,100,8.49,RU,1696550993
222,vilyuysk,63.7553,121.6247,-3.89,90,38,2.68,RU,1696551265
223,zhenzhou,32.2692,119.1789,18.83,75,93,2.47,CN,1696551049
224,sechura,-5.5569,-80.8222,22.29,75,97,6.6,PE,1696551266
225,freeport,40.6576,-73.5832,21.1,86,0,3.6,US,1696551148
226,taltal,-25.4,-70.4833,15.03,76,21,1.72,CL,1696551267
227,bamnet narong,15.4992,101.6897,24.83,92,100,1.62,TH,1696551267
228,plastun,44.7561,136.2939,10.05,90,100,3.13,RU,1696551268
229,nuuk,64.1835,-51.7216,6.34,42,100,10.8,GL,1696551268
230,al jawf,29.5,38.75,25.14,37,42,8.79,SA,1696551269
231,sao felix do xingu,-6.6447,-51.995,26.8,57,71,0.51,BR,1696551269
232,santo antonio,-6.3106,-35.4789,22.61,93,72,2.88,BR,1696551270
233,talara,-4.5772,-81.2719,23.42,73,100,3.92,PE,1696551017
234,queenstown,-31.8976,26.8753,16.47,89,92,1.03,ZA,1696551243
235,dakoro,14.5106,6.765,30.49,29,56,4.78,NE,1696551271
236,saint-philippe,-21.3585,55.7679,18.77,75,55,4.46,RE,1696551272
237,vuyyuru,16.3667,80.85,24.96,88,75,0.0,IN,1696551272
238,pathein,16.7833,94.7333,25.42,94,100,1.99,MM,1696551273
239,noshiro,40.2039,140.0242,14.46,76,100,13.35,JP,1696551273
240,akjoujt,19.6969,-14.4164,32.61,40,83,6.46,MR,1696551274
241,calbuco,-41.768,-73.1273,8.56,81,89,6.03,CL,1696551274
242,itaituba,-4.2761,-55.9836,32.28,35,100,1.4,BR,1696551117
243,talcahuano,-36.7167,-73.1167,11.82,76,0,3.6,CL,1696551275
244,la passe,45.5549,-0.8967,12.77,53,83,2.78,FR,1696551276
245,barnard castle,54.5415,-1.919,16.27,87,100,9.66,GB,1696551276
246,sao vicente,-23.9631,-46.3919,23.1,26,100,1.91,BR,1696550996
247,ketchikan,55.3422,-131.6461,13.99,94,100,3.6,US,1696551277
248,lakatoro,-16.0999,167.4164,25.91,66,85,7.54,VU,1696551279
249,srandakan,-7.9386,110.2506,26.47,77,28,3.13,ID,1696551280
250,vorgashor,67.5833,63.95,3.76,80,100,10.24,RU,1696551032
